state,city,klan_number,nickname,notes,latitude,longitude,year
California,Richmond,121,Not Named,No Notes,37.935833,-122.347778,1930
Colorado,Denver,1,Not Named,Organized early in 1921,39.7392358,-104.990251,1921
Colorado,Pueblo,5,Not Named,No Notes,38.2544472,-104.6091409,1923
Colorado,Florence,7,Not Named,No Notes,38.3902777,-105.1185988,1923
Colorado,Brighton,8,Not Named,No Notes,39.9852617,-104.8205283,1931
Colorado,Colorado Springs,11,Pikes Peak Klan,No Notes,38.8338816,-104.8213634,1925
Colorado,Loveland,16,Not Named,No Notes,40.3977612,-105.0749801,1931
Colorado,Colorado Springs,17,Pikes Peak Klan,No Notes,38.8338816,-104.8213634,1931
Colorado,Rocky Ford,19,Not Named,No Notes,38.052508,-103.7202274,1925
Colorado,Canon City,21,Not Named,No Notes,38.4494063,-105.2253316,1924
Colorado,Canon City,22,Royal Gorge Klan,No Notes,38.4494063,-105.2253316,1931
Colorado,Buena Vista,25,Not Named,No Notes,38.8422178,-106.1311288,1926
Colorado,Greeley,31,Not Named,No Notes,40.4233142,-104.7091322,1931
Colorado,Simla,43,Not Named,No Notes,39.1416551,-104.0838479,1926
Colorado,Edgewater,55,Not Named,No Notes,39.7530425,-105.0641503,1933
Colorado,Durango,66,Not Named,No Notes,37.27528,-107.8800667,1925
Colorado,Bayfield,69,Pine River Klan,No Notes,37.2255593,-107.5981123,1925
Colorado,Stratton,74,Not Named,No Notes,39.3033276,-102.6046454,1926
Colorado,Milliken,79,Little Thompson Klan,No Notes,40.3294268,-104.85525,1927
Colorado,Denver,81,Monarch Klan,No Notes,39.7392358,-104.990251,1931
Colorado,Longmont,2,Not Named,No Notes,40.171667,-105.109167,1927
Colorado,Boulder,3,Not Named,No Notes,40.027435,-105.251945,1927
Colorado,La Junta,4,Not Named,No Notes,37.981389,-103.5475,1927
Colorado,Hot Sulphur,6,Not Named,No Notes,40.073333,-106.101389,1927
Colorado,Littleton,9,Not Named,No Notes,39.599722,-105.010833,1927
Colorado,Sterling,10,Not Named,No Notes,40.625556,-103.211667,1927
Colorado,Walsenburg,12,Not Named,No Notes,37.626667,-104.783889,1927
Colorado,Wray,13,Not Named,No Notes,40.076667,-102.225833,1927
Colorado,Holly,14,Not Named,No Notes,38.054444,-102.125278,1927
Colorado,Trinidad,15,Not Named,No Notes,37.170833,-104.506389,1927
Colorado,Fowler,17,Not Named,No Notes,38.128343,-104.025,1927
Colorado,Fort Collins,18,Not Named,No Notes,40.559167,-105.078056,1927
Colorado,Manzanola,20,Not Named,No Notes,38.109167,-103.867778,1927
Colorado,Lafayette,22,Not Named,No Notes,39.995,-105.100556,1927
Colorado,Salida,23,Not Named,No Notes,38.531389,-105.996111,1927
Colorado,Ordway,24,Not Named,No Notes,38.219722,-103.757222,1927
Colorado,Trinidad,25,Not Named,No Notes,37.170833,-104.506389,1927
Colorado,Byers,27,Not Named,No Notes,39.710556,-104.221667,1927
Colorado,Grand Junction,35,Not Named,No Notes,39.066667,-108.566667,1927
Colorado,Delta,38,Not Named,No Notes,38.757372,-108.087959,1927
Colorado,Holyoke,43,Not Named,No Notes,40.581944,-102.301111,1927
Colorado,Rifle,45,Not Named,No Notes,39.536944,-107.782778,1927
Colorado,Paonia,46,Not Named,No Notes,38.8675,-107.5925,1927
Colorado,Fort Morgan,48,Not Named,No Notes,40.253333,-103.799167,1927
Colorado,Akron,49,Not Named,No Notes,40.164382,-103.220685,1927
Colorado,Haxtun,50,Not Named,No Notes,40.641667,-102.628889,1927
Colorado,Fairplay,51,Not Named,No Notes,39.224444,-105.998056,1927
Colorado,Arvada,53,Not Named,No Notes,39.833728,-105.150306,1927
Colorado,Elizabeth,60,Not Named,No Notes,39.361015,-104.606172,1927
Colorado,Yampa,63,Not Named,No Notes,40.153333,-106.908333,1927
Colorado,Castle Rock,65,Not Named,No Notes,39.376089,-104.853487,1927
Colorado,Center,68,Not Named,No Notes,37.751351,-106.110195,1927
Colorado,Mancos,71,Not Named,No Notes,37.345556,-108.2925,1927
Colorado,Breckinridge,72,Not Named,No Notes,39.499619,-106.043292,1927
Colorado,Meeker,75,Not Named,No Notes,40.039444,-107.910833,1927
Colorado,Eagle,78,Not Named,No Notes,39.634496,-106.816402,1927
Connecticut,New Haven,1,Not Named,No Notes,41.308274,-72.9278835,1922
Connecticut,Greenwich,1,Not Named,No Notes,41.0262417,-73.6281964,1932
Connecticut,Meriden,3,Not Named,No Notes,41.5381535,-72.8070435,1922
Connecticut,Norwalk,4,Not Named,No Notes,41.117744,-73.4081575,1932
Connecticut,Bridgeport,5,Not Named,No Notes,41.1865478,-73.1951767,1923
Connecticut,Danbury,5,Not Named,No Notes,41.394817,-73.4540111,1926
Connecticut,New London,6,Not Named,No Notes,41.3556539,-72.0995209,1931
Connecticut,New Haven,7,Not Named,No Notes,41.308274,-72.9278835,1931
Connecticut,Kent County,9,Not Named,RI?,41.6579147,-71.7147951,1933
Connecticut,Canaan,10,Not Named,No Notes,41.9640877,-73.3001233,1931
Connecticut,Washington County,12,Not Named,No Notes,41.4568113,-71.6673352,1933
Connecticut,Waterbury,14,Not Named,No Notes,41.5581525,-73.0514965,1929
Connecticut,Brooklyn,15,Israel Putnam Klan,Wauregan,41.7881236,-71.9497216,1928
Connecticut,West Willington,17,Nathan Hale Klan,No Notes,41.8812085,-72.3020246,1931
Connecticut,Hartford,18,Nutmeg Klan,South Manchester,41.7637111,-72.6850932,1929
Connecticut,New Britain,23,Elihu Burritt Klan,No Notes,41.6612104,-72.7795419,1931
DC,Washington,1,Not Named,No Notes,38.9071923,-77.0368707,1921
DC,Washington,2,National Capital Klan,No Notes,38.9071923,-77.0368707,1923
DC,Washington,3,Washington City Klan,No Notes,38.9071923,-77.0368707,1931
DC,Washington,4,Washington City Klan,No Notes,38.9071923,-77.0368707,1932
DC,Washington,5,Fellowship Klan,No Notes,38.9071923,-77.0368707,1928
Delaware,Delmar,2,Not Named,No Notes,38.4565052,-75.5771471,1925
Delaware,Smyrna,4,Caesar Rodney Klan,No Notes,39.2998339,-75.6046494,1924
Delaware,Wilmington,7,Not Named,"10th and 11th anniversaries celebrated on Oct 2, 1931 and Sept 16, 1932, respectively",39.7390721,-75.5397878,1923
Delaware,Newport,12,Not Named,No Notes,39.7137237,-75.6093709,1931
Delaware,Wilmington,13,Not Named,No Notes,39.7390721,-75.5397878,1929
Delaware,Dover,15,Nathan Hale Klan,No Notes,39.158168,-75.5243682,1926
Delaware,Wilmington,13,Not Named,No Notes,39.7390721,-75.5397878,1931
Delaware,Newark,14,Mason-Dixon Klan,No Notes,39.6837226,-75.7496572,1931
Delaware,Georgetown,17,Goodwill Klan,No Notes,38.6901134,-75.3854728,1929
Delaware,Newark,23,Ivy Castle Klan,No Notes,39.6837226,-75.7496572,1930
Florida,Jacksonville,1,Stonewall Jackson Klan,"FL's second largest Klan, after Miami",30.3321838,-81.655651,1924
Florida,South Jacksonville,2,Robert E. Lee Klan,No Notes,30.304384,-81.650083,1922
Florida,Lakeland,5,Abraham Lincoln Klan,No Notes,28.0394654,-81.9498042,1922
Florida,Tampa,7,Seminole Klan,No Notes,27.950575,-82.4571776,1932
Florida,Orlando,9,Cherokee Klan,No Notes,28.5383355,-81.3792365,1923
Florida,Palatka,13,Not Named,No Notes,29.6485801,-81.6375819,1922
Florida,DeLand,16,Not Named,No Notes,29.028318,-81.3031179,1924
Florida,New Smyrna,15,Not Named,No Notes,29.0258191,-80.9269984,1924
Florida,DeLand,16,Not Named,No Notes,29.028318,-81.3031179,1932
Florida,Daytona,17,Not Named,No Notes,29.1890073,-81.0469647,1924
Florida,Port Orange,17,Tamoka Klan,No Notes,29.1383165,-80.9956105,1932
Florida,Delray,17,Not Named,No Notes,26.4762477,-80.1330006,1926
Florida,Fort Myers,19,Palm Klan,AKA  Klan of the Palms,26.640628,-81.8723084,1926
Florida,St. Petersburg,20,Olaste Klan,AKA Olustee Klan,27.773056,-82.64,1924
Florida,Miami,24,John B. Gordon Klan,FL's largest Klan,25.7616798,-80.1917902,1924
Florida,Miami,26,Dade County Klan,No Notes,25.7616798,-80.1917902,1939
Florida,Eustis,27,Lake Region Klan,No Notes,28.8527675,-81.6853534,1929
Florida,Oviedo,31,Dixie Klan,No Notes,28.6594149,-81.2229076,1931
Florida,Cocoa,33,Not Named,No Notes,28.3861159,-80.7419984,1924
Florida,Titusville,33,Indian River Klan,No Notes,28.6122187,-80.8075537,1926
Florida,Key West,42,Not Named,No Notes,24.5550593,-81.7799871,1924
Florida,DeLand,16,Not Named,No Notes,29.028318,-81.3031179,1924
Florida,Winter Haven,49,Haven Klan,No Notes,28.0222435,-81.7328567,1932
Florida,West Palm Beach,50,Not Named,No Notes,26.7153424,-80.0533746,1923
Florida,West Palm Beach,56,Albert Sidney Johnston Klan,No Notes,26.7153424,-80.0533746,1924
Florida,Pensacola,57,Not Named,AKA the Escambia Klan,30.421309,-87.2169149,1923
Florida,Green Cove Springs,61,Not Named,No Notes,29.9919085,-81.6781467,1932
Florida,Bradenton,65,Not Named,No Notes,27.4989278,-82.5748194,1923
Florida,Palmetto,65,Manatee County,No Notes,27.5214269,-82.5723193,1924
Florida,Lake Worth,70,George B. Baker Klan,No Notes,26.6167555,-80.0684479,1924
Florida,Sebring,71,Highlands Klan,No Notes,27.495592,-81.440907,1933
Florida,Sarasota,72,Not Named,No Notes,27.3364347,-82.5306527,1924
Florida,Vero,74,Not Named,No Notes,27.6389729,-80.460952,1924
Florida,Plant City,77,Hillsboro Klan,No Notes,28.0186323,-82.1128641,1927
Florida,Levy County,78,Not Named,No Notes,29.3178545,-82.820974,1924
Florida,Punta Gorda,81,Not Named,No Notes,26.9297836,-82.0453664,1925
Florida,Arcadia,82,De Soto Klan,No Notes,27.2158826,-81.8584164,1933
Florida,Fort Pierce,83,Not Named,No Notes,27.4467056,-80.3256056,1924
Florida,McDavid,84,Not Named,Received its charter as the second Klan in Escambia County because Pensacola was too far away,30.8375596,-87.3295636,1924
Florida,Pinellas,87,Not Named,No Notes,27.876394,-82.7778579,1933
Florida,Okaloosa,99,Not Named,No Notes,30.5773401,-86.6611083,1931
Florida,Callahan,107,Not Named,No Notes,30.5621807,-81.8306621,1932
Florida,Avon Park,110,Not Named,No Notes,27.5958672,-81.5061862,1931
Florida,St. Augustine,113,Not Named,"AKA St. Johns County, Selooe Klan",29.9012437,-81.3124341,1930
Florida,Suwannee County,114,Not Named,AKA Live Oak,30.2485096,-82.9931607,1931
Florida,West Palm Beach,115,John A. Partin Klan,No Notes,26.7153424,-80.0533746,1929
Florida,Jupiter,117,Not Named,No Notes,26.9342246,-80.0942087,1933
Florida,Cross City,123,Dixie County Klan,No Notes,29.6343977,-83.1251306,1931
Florida,Lafayette,124,Not Named,No Notes,30.0299573,-83.2077645,1931
Florida,Tampa,128,Liberty Bell Klan,No Notes,27.950575,-82.4571776,1932
Florida,Plant City,129,C. G. McElroy Klan,AKA Tampa,28.0186323,-82.1128641,1931
Florida,Tecumseh Beach,141,Not Named,No Notes,26.740345,-80.095269,1932
Florida,Gainesville,46,Alachua Klan,No Notes,29.6516344,-82.3248262,1922
Florida,Arcadia,82,Not Named,Chartered 'last week' per INH in March 26th issue. The 82d Klan in the Realm.,27.2158826,-81.8584164,1924
Florida,Jacksonville,1,Not Named,No Notes,30.3321838,-81.655651,1920
Florida,Wauchula,92,Not Named,No Notes,27.5467314,-81.8271156,1939
Florida,Lake Wales,152,Not Named,No Notes,27.9182315,-81.6659951,1939
Georgia,Atlanta,1,Nathan Bedford Forrest Klan,One of nine Klans in Fulton County,33.7489954,-84.3879824,1931
Georgia,Athens,5,McDorman Klan,No Notes,33.9519347,-83.357567,1923
Georgia,Athens,8,Rutherford Klan,No Notes,33.9519347,-83.357567,1922
Georgia,Augusta,22,Alexander H. Stephens Klan,No Notes,33.466667,-81.966667,1926
Georgia,Buford,26,Captain Espy Klan,No Notes,34.1206564,-84.0043513,1922
Georgia,Savannah,41,Not Named,"""largest Klan in Georgia""",32.016667,-81.116667,1922
Georgia,Decatur,42,Not Named,No Notes,33.7748275,-84.2963123,1921
Georgia,Shannon,47,Hill City Klan,Rome?,34.3431937,-85.0783625,1932
Georgia,East Point,51,Not Named,"11th anniversary on Nov 12, 1931. [misidentified as No. 61], chartered 12 Nov. 20",33.6795531,-84.4393724,1931
Georgia,Austell,57,Not Named,chartered after a long period as a provisional Klan. Lithonia,33.8126059,-84.6343783,1923
Georgia,Bainbridge,60,John E. Donaldson Klan,No Notes,30.9037995,-84.5754699,1924
Georgia,Marietta,61,Joseph E. Johnston Klan,No Notes,33.952602,-84.5499327,1923
Georgia,Brunswick,63,Not Named,No Notes,31.1499528,-81.4914894,1931
Georgia,Waycross,78,Not Named,No Notes,31.2135511,-82.3540178,1924
Georgia,Camilla,87,Not Named,No Notes,31.2312933,-84.2104611,1925
Georgia,Kirkwood,91,John B. Gordon Klan,Atlanta,33.752831,-84.3252791,1924
Georgia,College Park,96,Copaga Klan,Associated with College Park,33.648333,-84.456111,1931
Georgia,Tennille,107,General Lee Klan,No Notes,32.9359886,-82.8115273,1922
Georgia,Dublin,108,Not Named,No Notes,32.5404447,-82.903754,1922
Georgia,Bolton,112,Riverside Klan,No Notes,33.8144708,-84.4566458,1922
Georgia,Statham,115,Paradise Klan,No Notes,33.9651127,-83.596555,1931
Georgia,Cummings,125,Cummings Klan,No Notes,34.2094687,-84.1169006,1923
Georgia,Buckhead,128,Not Named,No Notes,33.5684599,-83.3623853,1923
Georgia,Ty Ty,133,Red Blood Klan,No Notes,31.4718497,-83.6468362,1922
Georgia,Gainesville,136,Robert E. Lee Klan,No Notes,34.2978794,-83.8240663,1930
Georgia,Carnesville,140,Kanon Klan,No Notes,34.3698266,-83.235155,1923
Georgia,Kensington,143,Chickamauga Klan,No Notes,34.7742451,-85.3727368,1923
Georgia,Meldrim,145,Not Named,No Notes,32.1432582,-81.3778902,1924
Georgia,Dalton,146,Not Named,No Notes,34.7698021,-84.9702228,1924
Georgia,Pelham,153,Not Named,No Notes,31.1276849,-84.1518466,1923
Georgia,Broxton,163,Not Named,No Notes,31.6251911,-82.8868113,1923
Georgia,Woodstock,164,Not Named,No Notes,34.1014873,-84.5193754,1923
Georgia,Saltilla,169,Not Named,No Notes,31.7875,-82.567778,1923
Georgia,Alma,172,Not Named,No Notes,31.5443922,-82.5146879,1924
Georgia,Hardwick,174,Not Named,No Notes,33.0685576,-83.223983,1923
Georgia,Unadilla,192,Dooly County Klan,No Notes,32.2615496,-83.7365656,1924
Georgia,Danielsville,206,Not Named,No Notes,34.1242771,-83.2212629,1924
Georgia,Atlanta,207,Not Named,North Atlanta,33.7489954,-84.3879824,1930
Georgia,East Atlanta,213,Not Named,No Notes,33.7366044,-84.3357992,1924
Georgia,Tallulah Falls,228,Not Named,No Notes,34.7306498,-83.3943316,1932
Georgia,Lilburn,229,Not Named,No Notes,33.8901036,-84.1429719,1931
Georgia,Atlanta,241,Inman Yards Klan,Mt. Vernon,33.7489954,-84.3879824,1932
Georgia,Orchard Knob,247,Not Named,No Notes,33.6702028,-84.376547,1931
Georgia,Guyton,252,Effingham County,No Notes,32.3363045,-81.3914992,1931
Georgia,Columbus,254,Not Named,No Notes,32.4609764,-84.9877094,1935
Georgia,Griffin,259,Not Named,No Notes,33.2467807,-84.2640904,1931
Georgia,Jonesboro,261,Not Named,No Notes,33.5215013,-84.3538128,1931
Georgia,Monroe,264,Not Named,No Notes,33.7948364,-83.713229,1931
Georgia,Savannah,293,Samuel Green Klan,No Notes,32.016667,-81.116667,1931
Georgia,Augusta,22,Alexander Stephens Klan,No Notes,33.466667,-81.966667,1931
Georgia,Atlanta,1,Not Named,No Notes,33.7489954,-84.3879824,1915
Georgia,Columbus,29,Not Named,No Notes,32.4609764,-84.9877094,1919
Georgia,Macon,33,Not Named,No Notes,32.834722,-83.651667,1920
Georgia,Savannah,41,Not Named,No Notes,32.016667,-81.116667,1920
Idaho,Boise,1,Capital Klan,No Notes,43.6187102,-116.2146068,1926
Idaho,Pocatello,2,Not Named,No Notes,42.8713032,-112.4455344,1927
Idaho,Twin Falls,4,Not Named,No Notes,42.5629668,-114.4608711,1923
Idaho,Coeur d'Alene,18,Fort Sherman Klan,No Notes,47.6776832,-116.7804664,1926
Idaho,Culdesac,0,Not Named,No Notes,46.3746103,-116.6732035,1923
Illinois,East St. Louis,1,George Washington Klan,No Notes,38.624514,-90.1506465,1923
Illinois,Chicago,1,Not Named,No Notes,41.8781136,-87.6297982,1935
Illinois,Chicago,2,Englewood Klan,No Notes,41.8781136,-87.6297982,1923
Illinois,Springfield,3,Abraham Lincoln Klan,No Notes,39.7817213,-89.6501481,1923
